X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3;X4;Y4;Z4;X5;Y5;Z5;X6;Y6;Z6;X7;Y7;Z7;X8;Y8;Z8;X9;Y9;Z9;X10;Y10;Z10;X11;Y11;Z11;X12;Y12;Z12;X13;Y13;Z13;X14;Y14;Z14;X15;Y15;Z15;X16;Y16;Z16;X17;Y17;Z17;X18;Y18;Z18;X19;Y19;Z19;X20;Y20;Z20;Position
-9,742;2,306;-1,295;3,382;2,233;-2,482;-6,473;8,7;-7,174;6,83;3,002;9,079;3,893;-3,643;5,421;-3,43;2,395;3,534;-7,641;-2,913;-4,92;-9,295;-4,657;-1,296;1,213;3,356;-3,447;-9,427;-9,942;8,501;-9,228;3,217;7,57;-2,562;-2,295;8,765;-9,339;-4,807;-3,96;-0,999;-3,472;5,473;9,529;0,831;6,876;-8,226;7,998;1,837;9,811;4,758;1,921;-0,396;5,451;0,355;2,491;8,893;-3,52;-8,729;2,78;6,47;1
6,195;-1,603;-9,401;-3,873;0,992;-9,068;-5,914;8,981;0,287;9,512;5,162;0,015;-5,69;5,97;-5,761;-4,334;-5,157;-7,117;-6,499;-4,303;-5,555;9,78;-6,611;1,881;-4,115;0,106;5,095;0,316;9,868;-8,939;3,464;-8,04;-7,453;-6,31;2,812;9,209;6,792;-7,157;0,413;-1,435;-7,252;-3,405;3,312;-9,848;7,101;-5,361;3,011;9,198;-2,41;9,237;0,195;-2,372;-9,719;5,912;-4,49;5,725;7,039;-6,222;4,94;6,717;2
-3,952;-5,645;7,612;-8,422;6,326;-4,782;-7,989;9,089;6,878;2,798;7,902;-2,879;-9,862;-7,983;0,325;8,087;0,385;4,84;5,83;9,059;3,537;-3,011;-0,673;1,343;-7,487;7,827;-6,585;9,517;5,151;2,728;-7,988;-9,759;-2,09;-5,573;-8,09;-4,516;-2;-2,809;8,034;3,432;2,161;-6,587;5,957;8,568;-5,242;-1,155;4,715;-7,376;7,48;6,717;6,902;4,02;-9,897;-1,24;-3,285;4,577;-8,651;-6,172;1,543;-1,361;5
0,694;-8,563;-1,442;1,766;-6,174;-9,817;-8,107;-9,735;-6,308;1,692;6,433;7,505;7,26;9,33;7,233;-1,057;7,994;-9,453;-3,023;-1,63;8,998;-9,688;3,337;-9,712;-8,076;-9,672;-1,141;-9,572;6,008;-7,515;-0,485;2,169;-6,359;2,932;-5,901;-1,313;8,003;-4,161;8,856;-7,384;-1,785;-3,402;3,147;-4,581;-0,877;0,123;0,183;3,466;1,814;-6,845;-9,24;3,441;-8,594;-5,797;-3,996;-0,794;9,32;-3,172;-6,608;9,198;4
3,405;-0,072;6,002;-7,862;0,994;6,284;4,578;4,124;3,541;-4,948;1,777;9,401;-7,003;5,202;-5,039;-8,138;-6,536;-3,952;5,147;5,1;9,161;-0,454;3,436;0,097;6,356;4,671;1,833;4,534;4,557;7,95;4,587;-1,437;2,241;9,963;8,554;6,747;-8,946;-1,592;1,32;3,303;6,697;2,783;2,69;-4,027;-2,757;5,882;6,68;2,142;-0,178;-6,561;8,664;-3,665;3,529;0,597;-4,271;6,299;-4,706;-4,448;-2,735;6,403;4
-0,504;-6,078;2,391;-8,745;1,137;5,704;1,967;3,275;2,554;1,157;-9,606;-3,904;8,42;-0,592;-0,018;6,723;9,201;8,432;0,485;3,756;-8,457;4,75;7,018;7,861;-6,578;8,727;-8,342;-7,024;7,67;7,001;-3,148;4,86;6,544;-1,084;-3,07;-6,086;-2,357;9,707;-4,035;-3,557;-7,301;5,969;-8,616;5,726;-0,327;-1,947;6,456;-5,257;-6,084;8,58;0,161;-5,196;6,124;5,189;-4,86;3,48;4,31;-2,938;-8,809;6,302;4
6,755;-0,296;7,325;-7,074;-7,545;-2,061;4,431;3,883;2,206;-0,655;-2,963;3,157;-4,455;9,272;1,657;-7,171;5,919;-8,622;-1,142;0,91;-4,997;-9,742;-8,178;-8,764;7,471;8,184;-3,321;9,897;-8,792;9,475;5,3;8,175;-1,804;4,044;8,205;-3,857;-9,35;5,945;4,087;-4,975;-4,833;3,943;-2,472;-6,337;-4,298;6,803;6,607;1,971;-1,372;-0,87;7,614;-8,956;9,282;-5,203;5,041;-6,575;-3,98;6,456;-6,413;4,721;3
9,916;-0,04;-9,241;9,08;0,305;-3,136;-9,12;5,942;-4,238;3,551;3,837;7,524;2,84;4,469;7,205;-0,42;0,662;-6,335;-8,391;4,403;7,716;3,574;-2,525;-9,453;2,672;6,626;-2,706;5,793;3,736;-0,134;-7,187;-1,453;-8,639;-1,012;1,98;5,739;3,599;-0,799;-4,404;-5,509;-1,235;7,733;4,25;-0,484;-0,299;8,879;4,964;-3,059;-1,664;-5,203;-0,54;6,616;-8,501;-4,78;8,976;-1,05;-2,986;3,468;1,943;-7,354;5
9,096;-2,74;-6,499;-2,994;1,757;4,804;-0,265;-0,009;3,105;8,806;-6,502;-0,689;9,33;3,215;1,395;5,374;-9,294;0,084;-9,173;4,879;-6,047;-4,412;-0,277;-5,756;1,141;-0,227;-2,346;1,954;-9,468;-6,955;1,555;-8,348;-1,623;-9,359;-2,724;-4,669;1,702;8,633;-2,16;2,125;7,826;0,178;1,51;-9,849;8,339;-9,995;6,999;8,107;-6,91;5,897;1,391;-1,561;-6,586;4,118;-8,532;-2,921;6,659;-0,285;-7,458;1,371;4
8,85;8,802;-9,36;-6,593;-4,458;-4,135;-9,269;2,776;-2,089;-3,462;3,998;4,042;6,535;-7,846;-8,462;9,881;-3,861;7,423;8,884;9,648;-8,681;4,513;1,162;3,641;-8,696;-9,038;5,997;3,487;5,518;1,11;5,969;3,958;9,958;-1,826;-9,926;4,94;4,021;1,155;-1,861;8,906;9,919;6,898;8,398;-8,603;-8,528;3,359;-0,509;7,594;-8,842;6,254;-4,722;0,597;4,454;-2,033;0,468;-1,307;2,187;7,44;-4,615;0,152;4
-1,72;5,213;0,95;-7,054;-3,524;-7,125;3,081;-7,596;9,595;9,241;-9,255;1,491;7,523;-1,912;-0,19;-0,497;-7,999;-6,157;-5,804;8,016;2,779;-9,075;3,044;-5,714;4,508;5,479;6,001;9,7;-6,231;-7,999;-5,936;4,723;-0,458;-4,38;-4,712;-6,921;-3,772;-2,915;3,758;-7,501;-8,54;6,528;3,226;-7,806;-4,985;-9,467;-9,811;-0,677;0,458;5,132;-4,519;7,977;-3,445;6,001;-9,982;-5,214;-8,27;-3,057;-3,242;5,139;3
-5,685;9,616;-6,711;-6,844;5,62;3,594;2,132;3,063;2,208;3,756;-6,774;-3,161;3,138;9,618;2,96;5,978;-1,177;-6,958;6,204;-8,604;0,364;-2,005;2,436;7,279;-1,592;0,22;8,064;-4,53;4,364;-7,087;5,735;5,968;-3,555;-1,328;-0,088;7,215;7,668;5,951;-0,556;-5,333;-8,951;1,887;1,81;-7,431;-6,914;-4,63;-4,351;-1,548;4,027;-3,582;-6,51;-0,568;-9,396;-1,796;1,479;-0,707;5,364;-6,99;-2,471;4,986;4
-0,479;-8,217;-4,604;-6,382;8,067;-7,115;1,846;6,261;8,67;3,274;-7,324;-3,752;-1,069;0,987;-0,925;-0,84;-2,623;-9,23;-7,913;-0,955;-8,079;-1,547;-1,562;1,712;6,095;0,998;-7,257;-3,832;-5,028;-3,206;8,608;-7,103;3,258;5,12;0,748;-3,814;8,181;7,684;6,828;-5,104;4,347;0,636;-3,68;9,927;-4,505;-7,482;-4,058;-0,78;-6,52;-7,75;-0,37;9,571;4,721;-4,751;0,431;9,832;-6,127;9,511;-5,625;-8,726;1
9,652;-1,024;-9,048;3,96;6,997;6,075;5,528;-4,735;-2,889;5,224;8,899;6,196;5,669;6,609;4,416;4,513;9,404;-9,232;4,923;-8,376;8,154;-9,252;7,867;8,869;-1,521;-8,041;2,898;6,168;-3,978;5,95;3,313;-7,362;7,773;6,532;-0,747;-6,708;-4,535;7,795;-2,069;-7,565;-5,315;6,024;5,218;-0,467;-9,709;-0,293;7,084;-1,668;-4,998;-0,761;3,929;-5,272;9,767;-7,956;5,285;6,438;-9,156;-2,863;-6,803;-5,932;2
8,339;-9,081;-1,961;2,188;4,375;-8,639;3,89;-6,302;-8,457;-2,824;-3,97;1,007;-5,843;6,958;2,32;-0,8;4,073;-5,364;-7,833;-1,18;3,936;-7,838;5,448;3,111;5,361;-9,711;-4,743;-2,04;9,202;2,199;2,03;6,36;-2,084;-6,104;3,891;-2,247;6,141;0,939;-3,514;7,93;8,208;-9,802;-6,84;-7,567;5,883;-5,497;-5,772;-5,751;-5,761;7,482;8,483;-5,809;2,375;6,796;8,77;1,788;-0,429;-8,644;3,156;-5,937;5
4,962;-4,938;9,45;5,353;7,912;7,388;-8,934;-4,356;-9,501;9,487;-1,501;9,589;-4,784;-9,719;9,947;-2,749;3,004;9,005;-4,382;-7,609;-6,156;2,491;1,756;-8,029;-8,041;-3,945;-3,712;3,806;4,887;-5,81;0,355;1,533;-6,838;-6,841;-4,637;8,173;7,828;0,771;-2,209;-7,42;2,493;-6,213;-6,991;2,065;-9,247;-4,196;3,364;-0,832;1,82;-0,828;5,067;2,232;-9,173;2,478;-2,862;1,172;6,807;5,882;1,639;4,117;1
6,384;-8,562;-5,119;0,219;6,105;-3,79;1,348;-1,764;2,587;-0,919;4,855;-4,671;4,316;0,761;-8,447;-9,182;3,777;2,968;1,326;-3,051;0,137;9,583;-3,44;0,557;7,044;-9,988;3,691;-1,023;2,659;-9,521;-5,695;-6,393;5,397;-3,441;-6,382;4,559;-0,18;0,637;3,923;3,473;-9,027;-1,291;-3,827;9,761;-9,812;-8,842;-9,177;7,697;-5,013;8,359;3,954;-5,237;3,564;9,205;-6,685;6,605;-3,999;-5,853;9,149;-2,318;1
-4,989;2,741;6,851;2,482;4,816;5,61;-7,312;-3,767;-4,981;1,159;-2,554;-3,292;-3,85;-9,108;-3,472;-3,788;-5,415;0,7;3,945;-4,671;9,134;-0,298;-5,625;-4,795;0,056;8,96;-7,183;-3,335;-4,432;-2,759;-4,681;-5,543;-1,691;4,608;0,331;-9,88;5,398;7,538;-7,589;2,434;2,09;-0,549;-6,994;6,957;8,04;6,037;-6,25;9,91;0,428;0,345;3,704;9,057;6,587;0,153;-8,935;-7,86;4,788;-8,749;2,865;-5,739;3
-3,557;2,519;-1,024;-7,673;2,926;-7,5;-9,92;6,948;1,485;4,664;-8,886;5,607;7,209;9,733;0,494;-0,506;2,885;-7,919;-4,765;-1,352;3,174;-9,118;-2,954;4,812;-1,782;0,087;-1,483;6,418;9,788;-0,982;2,938;-5,77;2,674;-7,929;5,817;5,121;5,427;4,503;-4,053;8,476;6,622;7,472;-7,749;6,979;-4,139;9,151;-5,734;-2,944;4,9;-0,001;-2,917;3,337;-9,712;3,475;3,27;-8,277;2,033;0,405;-4,903;7,135;5
-2,165;5,288;0,978;9,925;-0,818;-7,503;-6,913;4,84;-5,785;-4,799;9,832;2,795;9,145;-9,192;8,407;-3,586;-9,51;-8,163;2,551;-7,639;7,53;-4,833;0,253;3,327;-6,174;1,618;3,903;6,236;6,601;-6,043;-2,98;-0,379;-9,534;-2,219;-4,023;9,252;-4,641;1,623;2,002;-5,031;7,739;-8,483;2,559;-0,769;8,987;-4,122;6,913;-4,75;8,288;-6,497;-1,46;-8,954;-2,551;6,546;-3,162;-6,311;-0,673;-7,62;-4,91;9,464;5
6,795;9,217;0,355;-4,679;-3,068;-0,704;-3,343;8,014;-3,512;0,801;5,399;-8,871;0,906;4,139;0,74;-5,869;-8,348;2,829;-5,434;-4,804;0,423;1,677;-2,568;-0,751;1,741;1,849;7,149;-5,772;6,854;9,936;3,917;-8,216;-6,606;7,479;6,429;-1,725;8,561;1,754;8,557;-8,879;9,02;2,171;5,405;-9,808;-4,186;8,468;-7,731;-5,139;-6,243;-9,974;-6,761;-6,004;-3,476;5,717;1,251;7,766;-2,478;-9,071;6,87;-3,166;3
-7,387;6,852;8,466;7,454;-6,8;-6,131;3,849;0,692;9,725;-6,078;2,226;-5,778;-3,248;4,301;9,739;-1,802;5,816;8,169;-0,536;-0,31;7,662;-3,659;8,43;7,018;2,823;1,198;9,495;-0,875;4,104;-7,357;9,544;7,088;1,28;9,491;0,415;2,989;8,931;-2,266;-6,075;7,507;7,578;2,7;-7,243;6,75;-8,865;-3,53;4,515;5,81;-4,281;3,623;1,315;-0,169;7,087;2,242;-6,4;-6,697;-4,293;-2,619;-7,669;-1,906;5
5,635;3,293;3,718;-9,135;-7,879;1,012;1,849;3,086;8,107;4,676;-2,935;-7,797;-6,777;0,207;-3,953;3,848;3,779;1,548;7,76;-1,425;5,042;-8,593;-0,739;6,44;-0,902;-9,82;-4,478;0,15;7,701;-9,427;4,717;-9,465;9,089;9,036;-3,335;0,814;8,946;2,682;4,296;7,612;1,166;7,341;0,614;2,506;-5,046;6,258;7,96;-9,628;-8,43;-1,792;7,024;7,075;-0,835;-2,016;-8,921;-4,895;-8,927;6,307;-7,528;6,38;4
3,023;7,41;8,95;3,145;-6,782;9,971;9,371;2,976;2,493;-2,977;-0,371;0,392;8,161;-0,806;8,449;-6,985;7,183;-4,8;-9,121;-4,866;4,807;-4,707;-5,656;-5,017;-5,613;0,78;-6,553;2,481;3,332;-3,565;-2,852;7,319;3,085;4,329;9,795;6,697;8,293;3,746;2,605;-0,733;7,261;-2,213;1,637;0,582;-9,464;8,882;-6,245;1,834;-5,34;-4,95;3,958;-4,293;2,566;-0,013;5,271;9,2;3,44;1,247;-6,557;-0,521;3
-5,143;-6,191;-6,331;-7,983;7,479;0,471;9,753;-9,996;-3,236;-1,617;-8,16;-6,105;-2,502;3,085;0,202;0,327;-4,684;1,396;3,276;9,974;-9,077;4,455;-9,114;-2,427;1,34;7,097;2,785;-7,92;-6,403;-9,955;6,125;-7,923;-3,171;-2,248;-2,093;8,888;5,797;3,969;5,312;7,187;0,04;-6,116;0,93;5,351;5,042;-3,498;-1,438;5,134;-7,16;-1,34;1,063;5,954;-2,007;-3,664;-4,237;-8,691;1,692;-7,65;1,364;4,718;1
-2,025;2,135;-7,45;9,005;-1,177;-2,461;3,656;8,709;2,708;-8,712;5,635;6,984;-0,899;-2,484;-2,374;3,172;8,767;9,395;1,982;-8,934;-4,302;5,967;3,509;9,525;5,468;0,808;-0,683;5,172;-3,24;5,577;-6,829;-6,027;-4,095;-1,397;7,556;-9,384;-0,911;-6,054;1,059;2,459;-9,816;-2,6;8,312;6,93;0,506;-1,743;9,931;-2,029;1,439;-4,924;4,278;7,976;7,247;-2,759;-4,507;0,533;9,809;5,153;-0,677;-8,141;5
-3,732;5,697;-1,391;1,924;-2,685;-7,041;1,847;-8,04;3,627;-5,706;3,09;1,043;-1,143;-7,57;1,839;9,564;-5,043;9,614;8,591;-6,894;8,052;-5,692;-9,554;1,086;8,013;-1,385;-4,641;0,936;1,835;-2,737;7,36;-6,424;-6,267;8,621;-2,025;9,482;-8,676;2,163;2,325;-7,876;-1,406;9,215;-9,949;-7,608;7,914;-2,316;9,044;-0,89;9,819;-7,365;-6,791;-5,897;-1,734;-8,979;3,817;4,345;-0,559;-7,305;9,712;-7,493;3
